param_clf__C,param_clf__l1_ratio,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
0.599484,0.1,0.7733333333333334,0.07498147919467996,19,0.8166666666666667,0.7333333333333334,0.9,0.7166666666666667,0.7,0.06485867500305176,0.0010115146636962891
0.599484,0.3,0.8133333333333332,0.05312459150169741,8,0.8166666666666667,0.7333333333333334,0.9,0.8166666666666667,0.8,0.0770185947418213,0.0010151863098144531
0.599484,0.5,0.8266666666666665,0.07348469228349537,6,0.8166666666666667,0.8166666666666667,0.9,0.9,0.7,0.09620513916015624,0.0010204315185546875
0.599484,0.7,0.8266666666666665,0.07788880963698618,6,0.9166666666666667,0.8166666666666667,0.8,0.9,0.7,0.10999889373779297,0.0010196685791015625
0.599484,0.9,0.8099999999999999,0.0866666666666667,13,0.9166666666666667,0.7333333333333334,0.8,0.9,0.7,0.111492919921875,0.0010161876678466796
2.15443,0.1,0.7366666666666667,0.11175369742826806,24,0.8166666666666667,0.7333333333333334,0.9,0.6333333333333333,0.6000000000000001,0.12183222770690919,0.0010218620300292969
2.15443,0.3,0.8133333333333332,0.05312459150169741,8,0.8166666666666667,0.7333333333333334,0.9,0.8166666666666667,0.8,0.1593238353729248,0.0010219097137451171
2.15443,0.5,0.8300000000000001,0.0635959467611297,2,0.8166666666666667,0.7333333333333334,0.9,0.9,0.8,0.17475299835205077,0.0010293960571289063
2.15443,0.7,0.8300000000000001,0.0635959467611297,2,0.8166666666666667,0.7333333333333334,0.9,0.9,0.8,0.21844139099121093,0.0010263919830322266
2.15443,0.9,0.8300000000000001,0.06863753427324668,2,0.9166666666666667,0.7333333333333334,0.8,0.9,0.8,0.26475772857666013,0.0012488842010498046
7.74264,0.1,0.7166666666666667,0.10434983894999018,28,0.7166666666666667,0.7333333333333334,0.9,0.6333333333333333,0.6000000000000001,0.15292253494262695,0.0010244369506835938
7.74264,0.3,0.7933333333333333,0.06548960901462833,16,0.8166666666666667,0.7333333333333334,0.9,0.7166666666666667,0.8,0.26255364418029786,0.0010297775268554687
7.74264,0.5,0.8133333333333332,0.05312459150169741,8,0.8166666666666667,0.7333333333333334,0.9,0.8166666666666667,0.8,0.30204052925109864,0.0010253429412841798
7.74264,0.7,0.8133333333333332,0.05312459150169741,8,0.8166666666666667,0.7333333333333334,0.9,0.8166666666666667,0.8,0.3165234088897705,0.001027679443359375
7.74264,0.9,0.8300000000000001,0.0635959467611297,2,0.8166666666666667,0.7333333333333334,0.9,0.9,0.8,0.34397568702697756,0.001022005081176758
27.8256,0.1,0.6966666666666667,0.13097921802925666,29,0.7166666666666667,0.7333333333333334,0.9,0.6333333333333333,0.5,0.16743850708007812,0.0010213851928710938
27.8256,0.3,0.7366666666666667,0.11175369742826806,24,0.8166666666666667,0.7333333333333334,0.9,0.6333333333333333,0.6000000000000001,0.21694426536560057,0.0010192394256591797
27.8256,0.5,0.7733333333333334,0.11953614051360738,19,0.9166666666666667,0.7333333333333334,0.9,0.7166666666666667,0.6000000000000001,0.272461462020874,0.0010291576385498048
27.8256,0.7,0.8333333333333334,0.0674948557710553,1,0.9166666666666667,0.7333333333333334,0.9,0.8166666666666667,0.8,0.3780494213104248,0.0010223388671875
27.8256,0.9,0.8133333333333332,0.05312459150169741,8,0.8166666666666667,0.7333333333333334,0.9,0.8166666666666667,0.8,0.4220094680786133,0.001026153564453125
100.0,0.1,0.6799999999999999,0.1305543735171076,32,0.7166666666666667,0.65,0.9,0.6333333333333333,0.5,0.19060449600219725,0.0010208606719970704
100.0,0.3,0.6966666666666667,0.13097921802925666,29,0.7166666666666667,0.7333333333333334,0.9,0.6333333333333333,0.5,0.20444583892822266,0.0010231971740722657
100.0,0.5,0.6966666666666667,0.13097921802925666,29,0.7166666666666667,0.7333333333333334,0.9,0.6333333333333333,0.5,0.21743597984313964,0.0010196685791015625
100.0,0.7,0.7366666666666667,0.11175369742826806,24,0.8166666666666667,0.7333333333333334,0.9,0.6333333333333333,0.6000000000000001,0.2360938549041748,0.0010217189788818359
100.0,0.9,0.7366666666666667,0.11175369742826806,24,0.8166666666666667,0.7333333333333334,0.9,0.6333333333333333,0.6000000000000001,0.25500831604003904,0.0010243892669677735
