pipeline_a,pipeline_b,mean_diff,ci_lower,ci_upper,bootstrap_se,distinguishable
en_rf,standalone_en,-0.042607,-0.057049,-0.028583,0.007238,True
en_rf,nmc_ensemble,-0.054869,-0.069358,-0.040452,0.00741,True
en_rf,kw_nmc_pens,-0.051869,-0.068251,-0.035893,0.008394,True
en_rf,standalone_en_pens,-0.047298,-0.061583,-0.033904,0.00701,True
en_rf,en_nmc_pens,-0.063964,-0.077774,-0.050643,0.006919,True
en_rf,en_nmc_pens_p200,,,,,False
en_rf,en_nmc_pens_p50,,,,,False
en_rf,en_nmc_pens_pall,,,,,False
en_rf,kw_nmc_kens,-0.058,-0.074464,-0.041607,0.00839,True
en_rf,kw_nmc_kgrid,-0.046095,-0.06275,-0.028607,0.008715,True
standalone_en,nmc_ensemble,-0.012262,-0.022821,-0.0015,0.005419,True
standalone_en,kw_nmc_pens,-0.009262,-0.023798,0.004988,0.007393,False
standalone_en,standalone_en_pens,-0.00469,-0.013488,0.004227,0.00451,False
standalone_en,en_nmc_pens,-0.021357,-0.032488,-0.010344,0.005671,True
standalone_en,en_nmc_pens_p200,,,,,False
standalone_en,en_nmc_pens_p50,,,,,False
standalone_en,en_nmc_pens_pall,,,,,False
standalone_en,kw_nmc_kens,-0.015393,-0.029334,-0.001202,0.007162,True
standalone_en,kw_nmc_kgrid,-0.003488,-0.018406,0.011084,0.007588,False
nmc_ensemble,kw_nmc_pens,0.003,-0.004893,0.010869,0.004061,False
nmc_ensemble,standalone_en_pens,0.007571,-0.001286,0.016501,0.00457,False
nmc_ensemble,en_nmc_pens,-0.009095,-0.017929,-0.000429,0.004425,True
nmc_ensemble,en_nmc_pens_p200,,,,,False
nmc_ensemble,en_nmc_pens_p50,,,,,False
nmc_ensemble,en_nmc_pens_pall,,,,,False
nmc_ensemble,kw_nmc_kens,-0.003131,-0.011321,0.005143,0.004238,False
nmc_ensemble,kw_nmc_kgrid,0.008774,-0.001167,0.019393,0.005251,False
kw_nmc_pens,standalone_en_pens,0.004571,-0.007702,0.016429,0.006128,False
kw_nmc_pens,en_nmc_pens,-0.012095,-0.022024,-0.002464,0.00497,True
kw_nmc_pens,en_nmc_pens_p200,,,,,False
kw_nmc_pens,en_nmc_pens_p50,,,,,False
kw_nmc_pens,en_nmc_pens_pall,,,,,False
kw_nmc_pens,kw_nmc_kens,-0.006131,-0.010881,-0.001262,0.002458,True
kw_nmc_pens,kw_nmc_kgrid,0.005774,-0.003096,0.015226,0.004694,False
standalone_en_pens,en_nmc_pens,-0.016667,-0.025548,-0.00806,0.004455,True
standalone_en_pens,en_nmc_pens_p200,,,,,False
standalone_en_pens,en_nmc_pens_p50,,,,,False
standalone_en_pens,en_nmc_pens_pall,,,,,False
standalone_en_pens,kw_nmc_kens,-0.010702,-0.022131,0.001299,0.006008,False
standalone_en_pens,kw_nmc_kgrid,0.001202,-0.010536,0.013286,0.006067,False
en_nmc_pens,en_nmc_pens_p200,,,,,False
en_nmc_pens,en_nmc_pens_p50,,,,,False
en_nmc_pens,en_nmc_pens_pall,,,,,False
en_nmc_pens,kw_nmc_kens,0.005964,-0.002929,0.015119,0.00464,False
en_nmc_pens,kw_nmc_kgrid,0.017869,0.006047,0.029822,0.006005,True
en_nmc_pens_p200,en_nmc_pens_p50,-0.002914,-0.005747,5.1e-05,0.001484,False
en_nmc_pens_p200,en_nmc_pens_pall,0.0,0.0,0.0,0.0,False
en_nmc_pens_p200,kw_nmc_kens,,,,,False
en_nmc_pens_p200,kw_nmc_kgrid,,,,,False
en_nmc_pens_p50,en_nmc_pens_pall,0.002914,1.2e-05,0.005875,0.001498,True
en_nmc_pens_p50,kw_nmc_kens,,,,,False
en_nmc_pens_p50,kw_nmc_kgrid,,,,,False
en_nmc_pens_pall,kw_nmc_kens,,,,,False
