param_clf__C,param_clf__l1_ratio,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
0.0464159,0.7,0.5,0.0,35,0.5,0.5,0.5,0.5,0.5,0.0029288768768310548,0.0011671066284179687
0.0464159,0.9,0.5,0.0,35,0.5,0.5,0.5,0.5,0.5,0.0027506351470947266,0.001169109344482422
0.16681,0.1,0.7633333333333333,0.07102425250887506,13,0.7166666666666667,0.7,0.75,0.9,0.75,0.03440408706665039,0.0012226104736328125
0.16681,0.3,0.7633333333333333,0.04136557881996954,13,0.8166666666666667,0.7,0.75,0.8,0.75,0.03840889930725098,0.0012226104736328125
0.16681,0.5,0.71,0.06716480559869961,29,0.8166666666666667,0.7,0.75,0.6333333333333333,0.65,0.0460604190826416,0.0012435436248779297
0.16681,0.7,0.6133333333333333,0.15070206073943088,31,0.8166666666666667,0.6,0.65,0.35,0.65,0.06070380210876465,0.0012469768524169921
0.16681,0.9,0.63,0.12265579661982731,30,0.8166666666666667,0.6,0.65,0.43333333333333335,0.65,0.05638055801391602,0.0012741565704345703
0.599484,0.1,0.7866666666666666,0.07702813338860898,3,0.8166666666666667,0.8,0.75,0.9,0.6666666666666666,0.0788306713104248,0.001315736770629883
0.599484,0.3,0.8033333333333333,0.08781293248212997,1,0.9166666666666667,0.7,0.75,0.9,0.75,0.09455671310424804,0.0013135910034179688
0.599484,0.5,0.7833333333333333,0.1069787102392081,6,0.9166666666666667,0.7,0.65,0.9,0.75,0.10323023796081543,0.0013416767120361327
0.599484,0.7,0.7466666666666666,0.09966610925150705,21,0.9166666666666667,0.7,0.65,0.8,0.6666666666666666,0.1382439613342285,0.0016113758087158204
0.599484,0.9,0.7666666666666667,0.09831920802501753,9,0.9166666666666667,0.8,0.65,0.8,0.6666666666666666,0.1935643196105957,0.0014083385467529297
2.15443,0.1,0.75,0.05868938953886336,20,0.8166666666666667,0.8,0.75,0.7333333333333334,0.65,0.14872956275939941,0.0013924598693847655
2.15443,0.3,0.7666666666666666,0.11105554165971789,11,0.8166666666666667,0.8,0.75,0.9,0.5666666666666667,0.18826875686645508,0.0014163970947265625
2.15443,0.5,0.7866666666666666,0.11224972160321826,3,0.9166666666666667,0.8,0.65,0.9,0.6666666666666666,0.22400879859924316,0.0014183521270751953
2.15443,0.7,0.8033333333333333,0.059999999999999984,1,0.8333333333333333,0.8,0.7333333333333334,0.9,0.75,0.25968303680419924,0.0014239311218261718
2.15443,0.9,0.7533333333333334,0.09153020145163984,15,0.8333333333333333,0.8,0.7333333333333334,0.8166666666666667,0.5833333333333334,0.32715277671813964,0.0014387607574462891
7.74264,0.1,0.7333333333333334,0.08881941729649487,23,0.8166666666666667,0.8,0.75,0.7333333333333334,0.5666666666666667,0.17500643730163573,0.0013874053955078125
7.74264,0.3,0.77,0.05715476066494083,8,0.8166666666666667,0.8,0.75,0.8166666666666667,0.6666666666666666,0.28241615295410155,0.0014285564422607422
7.74264,0.5,0.7666666666666666,0.11105554165971789,11,0.8166666666666667,0.8,0.75,0.9,0.5666666666666667,0.3352762222290039,0.0014544963836669923
7.74264,0.7,0.7866666666666666,0.08055363982396381,3,0.8333333333333333,0.8,0.7333333333333334,0.9,0.6666666666666666,0.3889297962188721,0.0016973495483398437
7.74264,0.9,0.7666666666666667,0.05962847939999439,9,0.8333333333333333,0.8,0.7333333333333334,0.8,0.6666666666666666,0.4324218273162842,0.0014646530151367187
27.8256,0.1,0.7533333333333333,0.05312459150169743,16,0.8166666666666667,0.8,0.75,0.7333333333333334,0.6666666666666666,0.21541385650634765,0.001395845413208008
27.8256,0.3,0.7333333333333334,0.08881941729649487,23,0.8166666666666667,0.8,0.75,0.7333333333333334,0.5666666666666667,0.25367488861083987,0.0014225959777832032
27.8256,0.5,0.7533333333333333,0.05312459150169743,16,0.8166666666666667,0.8,0.75,0.7333333333333334,0.6666666666666666,0.3181960105895996,0.0014432907104492188
27.8256,0.7,0.7366666666666666,0.04876246279442598,22,0.8166666666666667,0.7166666666666667,0.75,0.7333333333333334,0.6666666666666666,0.3917506217956543,0.0014493942260742187
27.8256,0.9,0.7333333333333332,0.09189365834726813,28,0.8166666666666667,0.7166666666666667,0.75,0.8166666666666667,0.5666666666666667,0.44062099456787107,0.0014560222625732422
100.0,0.1,0.7533333333333333,0.05312459150169743,16,0.8166666666666667,0.8,0.75,0.7333333333333334,0.6666666666666666,0.2508388519287109,0.0014255523681640625
100.0,0.3,0.7533333333333333,0.05312459150169743,16,0.8166666666666667,0.8,0.75,0.7333333333333334,0.6666666666666666,0.2639644622802734,0.0014524459838867188
100.0,0.5,0.7333333333333334,0.08881941729649487,23,0.8166666666666667,0.8,0.75,0.7333333333333334,0.5666666666666667,0.2762417793273926,0.001450490951538086
100.0,0.7,0.7333333333333334,0.08881941729649487,23,0.8166666666666667,0.8,0.75,0.7333333333333334,0.5666666666666667,0.28655638694763186,0.001473379135131836
100.0,0.9,0.7333333333333334,0.08881941729649487,23,0.8166666666666667,0.8,0.75,0.7333333333333334,0.5666666666666667,0.30428552627563477,0.0016991615295410157
