param_clf__max_features,param_clf__min_samples_leaf,param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
sqrt,1,0.00359381,0.1,5,0.6433333333333333,0.11953614051360738,471,0.8166666666666667,0.45,0.6166666666666667,0.6333333333333333,0.7,0.48289027214050295,0.02093214988708496
sqrt,1,0.00359381,0.1,10,0.5966666666666667,0.13597385369580758,561,0.7,0.3333333333333333,0.6166666666666667,0.6333333333333333,0.7,0.4873325824737549,0.0208951473236084
sqrt,1,0.00359381,0.1,20,0.51,0.092255683353987,769,0.6333333333333333,0.5166666666666667,0.35,0.55,0.5,0.492416524887085,0.020708370208740234
sqrt,1,0.00359381,0.1,50,0.5466666666666666,0.18867962264113208,640,0.8166666666666667,0.6166666666666667,0.25,0.45,0.6,0.49656081199645996,0.02080669403076172
sqrt,1,0.00359381,0.3,5,0.6433333333333333,0.11953614051360738,471,0.8166666666666667,0.45,0.6166666666666667,0.6333333333333333,0.7,0.48549680709838866,0.020821332931518555
sqrt,1,0.00359381,0.3,10,0.5966666666666667,0.13597385369580758,561,0.7,0.3333333333333333,0.6166666666666667,0.6333333333333333,0.7,0.48882465362548827,0.020773649215698242
sqrt,1,0.00359381,0.3,20,0.51,0.092255683353987,769,0.6333333333333333,0.5166666666666667,0.35,0.55,0.5,0.4947550296783447,0.02087254524230957
sqrt,1,0.00359381,0.3,50,0.5466666666666666,0.18867962264113208,640,0.8166666666666667,0.6166666666666667,0.25,0.45,0.6,0.49867887496948243,0.021042633056640624
sqrt,1,0.00359381,0.5,5,0.6433333333333333,0.11953614051360738,471,0.8166666666666667,0.45,0.6166666666666667,0.6333333333333333,0.7,0.4856237888336182,0.02077484130859375
sqrt,1,0.00359381,0.5,10,0.5966666666666667,0.13597385369580758,561,0.7,0.3333333333333333,0.6166666666666667,0.6333333333333333,0.7,0.4934257507324219,0.020766210556030274
sqrt,1,0.00359381,0.5,20,0.51,0.092255683353987,769,0.6333333333333333,0.5166666666666667,0.35,0.55,0.5,0.4934046745300293,0.020917177200317383
sqrt,1,0.00359381,0.5,50,0.5466666666666666,0.18867962264113208,640,0.8166666666666667,0.6166666666666667,0.25,0.45,0.6,0.4981257915496826,0.02098846435546875
sqrt,1,0.00359381,0.7,5,0.6433333333333333,0.11953614051360738,471,0.8166666666666667,0.45,0.6166666666666667,0.6333333333333333,0.7,0.4868292808532715,0.02067990303039551
sqrt,1,0.00359381,0.7,10,0.5966666666666667,0.13597385369580758,561,0.7,0.3333333333333333,0.6166666666666667,0.6333333333333333,0.7,0.48968505859375,0.02078399658203125
sqrt,1,0.00359381,0.7,20,0.51,0.092255683353987,769,0.6333333333333333,0.5166666666666667,0.35,0.55,0.5,0.49636220932006836,0.02079949378967285
sqrt,1,0.00359381,0.7,50,0.5466666666666666,0.18867962264113208,640,0.8166666666666667,0.6166666666666667,0.25,0.45,0.6,0.5008761882781982,0.02114839553833008
sqrt,1,0.00359381,0.9,5,0.6433333333333333,0.11953614051360738,471,0.8166666666666667,0.45,0.6166666666666667,0.6333333333333333,0.7,0.4862717628479004,0.020677900314331053
sqrt,1,0.00359381,0.9,10,0.5966666666666667,0.13597385369580758,561,0.7,0.3333333333333333,0.6166666666666667,0.6333333333333333,0.7,0.48907084465026857,0.020923948287963866
sqrt,1,0.00359381,0.9,20,0.51,0.092255683353987,769,0.6333333333333333,0.5166666666666667,0.35,0.55,0.5,0.49543395042419436,0.020990800857543946
sqrt,1,0.00359381,0.9,50,0.5466666666666666,0.18867962264113208,640,0.8166666666666667,0.6166666666666667,0.25,0.45,0.6,0.5003069877624512,0.02068791389465332
sqrt,1,0.0129155,0.1,5,0.6599999999999999,0.21566434826162417,445,0.9,0.8,0.4166666666666667,0.3833333333333333,0.8,0.4914820671081543,0.02065720558166504
sqrt,1,0.0129155,0.1,10,0.8133333333333335,0.09510228411791405,28,0.9,0.8,0.9166666666666667,0.65,0.8,0.4943272113800049,0.021066999435424803
sqrt,1,0.0129155,0.1,20,0.8366666666666667,0.1351542328847553,12,0.9,0.9,0.9166666666666667,0.5666666666666667,0.9,0.499374532699585,0.020842695236206056
sqrt,1,0.0129155,0.1,50,0.8400000000000001,0.18214768123085667,11,0.9,1.0,0.9166666666666667,0.48333333333333334,0.9,0.5048696041107178,0.020732021331787108
sqrt,1,0.0129155,0.3,5,0.6433333333333333,0.11953614051360738,471,0.8166666666666667,0.45,0.6166666666666667,0.6333333333333333,0.7,0.48752593994140625,0.020870351791381837
sqrt,1,0.0129155,0.3,10,0.5966666666666667,0.13597385369580758,561,0.7,0.3333333333333333,0.6166666666666667,0.6333333333333333,0.7,0.49066715240478515,0.02079291343688965
sqrt,1,0.0129155,0.3,20,0.51,0.092255683353987,769,0.6333333333333333,0.5166666666666667,0.35,0.55,0.5,0.4965962886810303,0.02112884521484375
sqrt,1,0.0129155,0.3,50,0.5466666666666666,0.18867962264113208,640,0.8166666666666667,0.6166666666666667,0.25,0.45,0.6,0.5000045299530029,0.020667505264282227
sqrt,1,0.0129155,0.5,5,0.6433333333333333,0.11953614051360738,471,0.8166666666666667,0.45,0.6166666666666667,0.6333333333333333,0.7,0.48814878463745115,0.020748996734619142
sqrt,1,0.0129155,0.5,10,0.5966666666666667,0.13597385369580758,561,0.7,0.3333333333333333,0.6166666666666667,0.6333333333333333,0.7,0.49209909439086913,0.020840978622436522
sqrt,1,0.0129155,0.5,20,0.51,0.092255683353987,769,0.6333333333333333,0.5166666666666667,0.35,0.55,0.5,0.4956046104431152,0.021190357208251954
sqrt,1,0.0129155,0.5,50,0.5466666666666666,0.18867962264113208,640,0.8166666666666667,0.6166666666666667,0.25,0.45,0.6,0.498628568649292,0.020678138732910155
sqrt,1,0.0129155,0.7,5,0.6433333333333333,0.11953614051360738,471,0.8166666666666667,0.45,0.6166666666666667,0.6333333333333333,0.7,0.4859954833984375,0.02083110809326172
