param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score
0.00359381,0.9,5,0.4766666666666667,0.1845715759987617,169
0.00359381,0.9,10,0.51,0.1778263822446552,153
0.00359381,0.9,20,0.38666666666666666,0.1024152766382481,185
0.00359381,0.9,50,0.5800000000000001,0.13515423288475528,135
0.0129155,0.1,5,0.7300000000000001,0.05416025603090642,113
0.0129155,0.1,10,0.7999999999999999,0.14605934866804432,47
0.0129155,0.1,20,0.8100000000000002,0.10088497300281041,42
0.0129155,0.1,50,0.8266666666666665,0.07348469228349537,32
0.0129155,0.3,5,0.4766666666666667,0.1845715759987617,169
0.0129155,0.3,10,0.51,0.1778263822446552,153
0.0129155,0.3,20,0.38666666666666666,0.1024152766382481,185
0.0129155,0.3,50,0.5800000000000001,0.13515423288475528,135
0.0129155,0.5,5,0.4766666666666667,0.1845715759987617,169
0.0129155,0.5,10,0.51,0.1778263822446552,153
0.0129155,0.5,20,0.38666666666666666,0.1024152766382481,185
0.0129155,0.5,50,0.5800000000000001,0.13515423288475528,135
0.0129155,0.7,5,0.4766666666666667,0.1845715759987617,169
0.0129155,0.7,10,0.51,0.1778263822446552,153
0.0129155,0.7,20,0.38666666666666666,0.1024152766382481,185
0.0129155,0.7,50,0.5800000000000001,0.13515423288475528,135
0.0129155,0.9,5,0.4766666666666667,0.1845715759987617,169
0.0129155,0.9,10,0.51,0.1778263822446552,153
0.0129155,0.9,20,0.38666666666666666,0.1024152766382481,185
0.0129155,0.9,50,0.5800000000000001,0.13515423288475528,135
0.0464159,0.1,5,0.78,0.07102425250887506,55
0.0464159,0.1,10,0.76,0.1222929088522943,75
0.0464159,0.1,20,0.8333333333333334,0.10903618155864084,24
0.0464159,0.1,50,0.8866666666666667,0.0678232998312527,7
0.0464159,0.3,5,0.7433333333333333,0.09865765724632497,101
0.0464159,0.3,10,0.7866666666666667,0.1697710877099579,54
0.0464159,0.3,20,0.8099999999999999,0.10360180178613368,43
0.0464159,0.3,50,0.8300000000000001,0.09273618495495704,28
0.0464159,0.5,5,0.5566666666666666,0.21411315803668968,151
0.0464159,0.5,10,0.6633333333333333,0.10718623460542348,131
0.0464159,0.5,20,0.5366666666666667,0.09030811456096043,152
0.0464159,0.5,50,0.7200000000000001,0.0635959467611297,118
0.0464159,0.7,5,0.4766666666666667,0.1845715759987617,169
0.0464159,0.7,10,0.51,0.1778263822446552,153
0.0464159,0.7,20,0.38666666666666666,0.1024152766382481,185
0.0464159,0.7,50,0.5800000000000001,0.13515423288475528,135
0.0464159,0.9,5,0.4766666666666667,0.1845715759987617,169
0.0464159,0.9,10,0.51,0.1778263822446552,153
0.0464159,0.9,20,0.38666666666666666,0.1024152766382481,185
0.0464159,0.9,50,0.5800000000000001,0.13515423288475528,135
0.16681,0.1,5,0.7433333333333334,0.10143416036468626,90
0.16681,0.1,10,0.7633333333333333,0.09741092797468309,71
0.16681,0.1,20,0.7966666666666665,0.0413655788199695,52
0.16681,0.1,50,0.89,0.08666666666666666,1
0.16681,0.3,5,0.7033333333333334,0.07408703590297623,125
0.16681,0.3,10,0.7066666666666667,0.13727506854649335,124
0.16681,0.3,20,0.7333333333333334,0.03496029493900508,112
0.16681,0.3,50,0.8333333333333334,0.0674948557710553,24
0.16681,0.5,5,0.7433333333333334,0.10143416036468625,90
0.16681,0.5,10,0.7966666666666666,0.1334998959633386,48
0.16681,0.5,20,0.7933333333333333,0.0703957069398096,53
0.16681,0.5,50,0.8299999999999998,0.035590260840104374,29
0.16681,0.7,5,0.7466666666666666,0.09510228411791403,89
0.16681,0.7,10,0.78,0.12710450643291749,55
0.16681,0.7,20,0.8466666666666667,0.09626352718795768,22
0.16681,0.7,50,0.8099999999999999,0.05830951894845301,43
0.16681,0.9,5,0.78,0.10187137859957417,55
