param_clf__max_features,param_clf__min_samples_leaf,param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
sqrt,1,0.599484,0.1,20,0.7833333333333333,0.06749485577105528,3,0.7333333333333334,0.8166666666666667,0.7166666666666667,0.75,0.9,0.6070850849151611,0.020767593383789064
sqrt,1,0.599484,0.1,50,0.7433333333333333,0.10728984626287388,70,0.6333333333333333,0.7166666666666667,0.6333333333333333,0.8333333333333333,0.9,0.6141616821289062,0.020793581008911134
sqrt,1,0.599484,0.3,5,0.6833333333333333,0.03496029493900506,310,0.6333333333333333,0.7166666666666667,0.7166666666666667,0.65,0.7,0.6325551033020019,0.021143054962158202
sqrt,1,0.599484,0.3,10,0.6666666666666667,0.09006170724070865,434,0.6333333333333333,0.7166666666666667,0.8166666666666667,0.5666666666666667,0.6,0.6328402519226074,0.020865249633789062
sqrt,1,0.599484,0.3,20,0.76,0.0793025150224688,18,0.6333333333333333,0.8166666666666667,0.8166666666666667,0.8333333333333333,0.7,0.6410191535949707,0.020928096771240235
sqrt,1,0.599484,0.3,50,0.6699999999999999,0.08459051693633014,428,0.6333333333333333,0.8166666666666667,0.6333333333333333,0.5666666666666667,0.7,0.6482031345367432,0.02078075408935547
sqrt,1,0.599484,0.5,5,0.6633333333333334,0.0644635986860457,460,0.6333333333333333,0.7166666666666667,0.7166666666666667,0.55,0.7,0.6510985374450684,0.020941686630249024
sqrt,1,0.599484,0.5,10,0.7233333333333334,0.09404490653110589,114,0.6333333333333333,0.7333333333333334,0.8166666666666667,0.8333333333333333,0.6,0.6554039001464844,0.020884370803833006
sqrt,1,0.599484,0.5,20,0.6799999999999999,0.05999999999999998,370,0.7166666666666667,0.7166666666666667,0.6166666666666667,0.75,0.6000000000000001,0.6533804893493652,0.020807552337646484
sqrt,1,0.599484,0.5,50,0.6666666666666666,0.08628119403696523,445,0.6166666666666667,0.8166666666666667,0.6333333333333333,0.5666666666666667,0.7,0.6665640354156495,0.020902633666992188
sqrt,1,0.599484,0.7,5,0.6833333333333333,0.06749485577105528,310,0.7333333333333334,0.7166666666666667,0.7166666666666667,0.55,0.7,0.6732656955718994,0.020847558975219727
sqrt,1,0.599484,0.7,10,0.7033333333333334,0.07774602526460402,197,0.6333333333333333,0.7333333333333334,0.8166666666666667,0.7333333333333334,0.6,0.6696540832519531,0.020805168151855468
sqrt,1,0.599484,0.7,20,0.7000000000000001,0.0849836585598797,240,0.7166666666666667,0.7333333333333334,0.6166666666666667,0.8333333333333333,0.6000000000000001,0.6721584796905518,0.020704174041748048
sqrt,1,0.599484,0.7,50,0.7133333333333333,0.08969082698049138,179,0.6166666666666667,0.8166666666666667,0.6166666666666667,0.8166666666666667,0.7,0.6812257289886474,0.020783281326293944
sqrt,1,0.599484,0.9,5,0.6633333333333334,0.0644635986860457,460,0.6333333333333333,0.7166666666666667,0.7166666666666667,0.55,0.7,0.6254257678985595,0.020853710174560548
sqrt,1,0.599484,0.9,10,0.6233333333333333,0.07423685817106698,563,0.6333333333333333,0.7333333333333334,0.6166666666666667,0.6333333333333333,0.5,0.6256532669067383,0.020894384384155272
sqrt,1,0.599484,0.9,20,0.7,0.08164965809277258,242,0.7166666666666667,0.8166666666666667,0.6166666666666667,0.75,0.6000000000000001,0.629239559173584,0.020761966705322266
sqrt,1,0.599484,0.9,50,0.7133333333333334,0.12927146286443544,176,0.6166666666666667,0.9166666666666667,0.6166666666666667,0.8166666666666667,0.6000000000000001,0.63650484085083,0.02087540626525879
sqrt,1,2.15443,0.1,5,0.6433333333333333,0.038873012632302015,530,0.6333333333333333,0.7166666666666667,0.6333333333333333,0.6333333333333333,0.6,0.7270791530609131,0.02090139389038086
sqrt,1,2.15443,0.1,10,0.6699999999999999,0.11756794725698934,428,0.7333333333333334,0.7333333333333334,0.8166666666666667,0.5666666666666667,0.5,0.7306562900543213,0.020972490310668945
sqrt,1,2.15443,0.1,20,0.7433333333333334,0.08339997335464537,45,0.7333333333333334,0.7166666666666667,0.7166666666666667,0.65,0.9,0.7321171760559082,0.021073150634765624
sqrt,1,2.15443,0.1,50,0.7233333333333334,0.09752492558885198,114,0.7166666666666667,0.6333333333333333,0.6333333333333333,0.7333333333333334,0.9,0.7402092933654785,0.021035003662109374
sqrt,1,2.15443,0.3,5,0.6799999999999999,0.138001610296563,370,0.43333333333333335,0.8,0.8166666666666667,0.65,0.7,0.7990463733673095,0.020917606353759766
sqrt,1,2.15443,0.3,10,0.6833333333333333,0.06146362971528595,310,0.7333333333333334,0.7333333333333334,0.6166666666666667,0.7333333333333334,0.6,0.8027482986450195,0.020943403244018555
sqrt,1,2.15443,0.3,20,0.7766666666666667,0.0429469957557504,8,0.8166666666666667,0.8166666666666667,0.7166666666666667,0.7333333333333334,0.8,0.8038640022277832,0.020877933502197264
sqrt,1,2.15443,0.3,50,0.7033333333333334,0.10666666666666669,197,0.6333333333333333,0.8166666666666667,0.5333333333333333,0.7333333333333334,0.8,0.8160226345062256,0.02085556983947754
sqrt,1,2.15443,0.5,5,0.7033333333333334,0.028674417556808763,197,0.7333333333333334,0.7166666666666667,0.7166666666666667,0.65,0.7,0.8438024520874023,0.020915699005126954
sqrt,1,2.15443,0.5,10,0.7466666666666667,0.11709445380166865,40,0.7333333333333334,0.8166666666666667,0.9166666666666667,0.5666666666666667,0.7,0.8417439460754395,0.020960378646850585
sqrt,1,2.15443,0.5,20,0.7166666666666667,0.09718253158075499,170,0.7166666666666667,0.8166666666666667,0.6166666666666667,0.8333333333333333,0.6,0.8455075263977051,0.020785951614379884
sqrt,1,2.15443,0.5,50,0.7233333333333333,0.07644896627453145,137,0.7166666666666667,0.8166666666666667,0.6166666666666667,0.6666666666666666,0.8,0.8500538349151612,0.020975446701049803
sqrt,1,2.15443,0.7,5,0.6833333333333333,0.06749485577105528,310,0.7333333333333334,0.7166666666666667,0.7166666666666667,0.55,0.7,0.8776368141174317,0.020942258834838866
sqrt,1,2.15443,0.7,10,0.76,0.1046687897873839,18,0.7333333333333334,0.8166666666666667,0.9166666666666667,0.7333333333333334,0.6,0.8865801811218261,0.02201700210571289
sqrt,1,2.15443,0.7,20,0.7166666666666666,0.06912147117775903,173,0.7166666666666667,0.7166666666666667,0.6166666666666667,0.8333333333333333,0.7,0.8854565620422363,0.02101278305053711
sqrt,1,2.15443,0.7,50,0.6666666666666666,0.08628119403696523,445,0.6166666666666667,0.8166666666666667,0.6333333333333333,0.5666666666666667,0.7,0.8918437480926513,0.020862436294555663
sqrt,1,2.15443,0.9,5,0.7,0.11595018087284058,242,0.6333333333333333,0.9,0.7166666666666667,0.55,0.7,0.8973025321960449,0.020818090438842772
sqrt,1,2.15443,0.9,10,0.6833333333333333,0.0767390962214756,310,0.6333333333333333,0.8166666666666667,0.7166666666666667,0.65,0.6,0.900253438949585,0.020972728729248047
