param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score
0.16681,0.1,20,0.7766666666666666,0.07195677714974301,19
0.16681,0.1,50,0.7933333333333333,0.09752492558885197,13
0.16681,0.3,5,0.6733333333333332,0.09809292646374776,112
0.16681,0.3,10,0.6833333333333333,0.08498365855987976,104
0.16681,0.3,20,0.7633333333333334,0.09333333333333332,22
0.16681,0.3,50,0.8066666666666666,0.05830951894845301,10
0.16681,0.5,5,0.6966666666666667,0.10509255180289631,100
0.16681,0.5,10,0.7766666666666667,0.06798692684790379,17
0.16681,0.5,20,0.7999999999999999,0.06749485577105528,11
0.16681,0.5,50,0.8333333333333334,0.0674948557710553,2
0.16681,0.7,5,0.7833333333333334,0.10593499054713801,14
0.16681,0.7,10,0.7433333333333334,0.17435595774162693,43
0.16681,0.7,20,0.8166666666666667,0.058689389538863365,5
0.16681,0.7,50,0.8333333333333334,0.07149203529842407,2
0.16681,0.9,5,0.7,0.10327955589886444,98
0.16681,0.9,10,0.7833333333333333,0.06666666666666664,15
0.16681,0.9,20,0.7966666666666666,0.07557189365836425,12
0.16681,0.9,50,0.78,0.09392668535736914,16
0.599484,0.1,5,0.6666666666666666,0.08498365855987976,114
0.599484,0.1,10,0.76,0.0946337971105226,26
0.599484,0.1,20,0.7433333333333334,0.08339997335464536,43
0.599484,0.1,50,0.74,0.10780641085864154,48
0.599484,0.3,5,0.65,0.12247448713915891,119
0.599484,0.3,10,0.74,0.1147945023848171,48
0.599484,0.3,20,0.7466666666666667,0.13432961119739922,37
0.599484,0.3,50,0.7533333333333333,0.12445436468396313,33
0.599484,0.5,5,0.6766666666666667,0.1562049935181331,106
0.599484,0.5,10,0.7066666666666667,0.08730533902472529,86
0.599484,0.5,20,0.7433333333333334,0.08666666666666667,43
0.599484,0.5,50,0.7733333333333332,0.12498888839501783,21
0.599484,0.7,5,0.7066666666666667,0.12138094304022082,86
0.599484,0.7,10,0.7066666666666667,0.1147945023848171,86
0.599484,0.7,20,0.74,0.08730533902472531,48
0.599484,0.7,50,0.8333333333333334,0.10593499054713806,2
0.599484,0.9,5,0.7266666666666667,0.14165686240583852,66
0.599484,0.9,10,0.7533333333333333,0.09392668535736916,33
0.599484,0.9,20,0.7566666666666666,0.10624918300339486,28
0.599484,0.9,50,0.8133333333333335,0.08259674462242578,6
2.15443,0.1,5,0.7066666666666667,0.10143416036468628,86
2.15443,0.1,10,0.7,0.06749485577105531,98
2.15443,0.1,20,0.7266666666666667,0.09752492558885198,66
2.15443,0.1,50,0.74,0.10780641085864154,48
2.15443,0.3,5,0.74,0.08730533902472531,48
2.15443,0.3,10,0.71,0.10252370999486465,84
2.15443,0.3,20,0.73,0.13999999999999999,64
2.15443,0.3,50,0.7333333333333334,0.12337837015547833,63
2.15443,0.5,5,0.6900000000000001,0.1392838827718412,101
2.15443,0.5,10,0.71,0.08856886837057613,84
2.15443,0.5,20,0.7633333333333334,0.13678856352455462,22
2.15443,0.5,50,0.7533333333333333,0.12710450643291746,33
2.15443,0.7,5,0.65,0.12247448713915891,119
2.15443,0.7,10,0.7266666666666668,0.10143416036468623,65
2.15443,0.7,20,0.7466666666666667,0.13432961119739922,37
2.15443,0.7,50,0.7366666666666667,0.11125546178852425,58
2.15443,0.9,5,0.65,0.097182531580755,119
2.15443,0.9,10,0.7466666666666667,0.10402991022884821,37
2.15443,0.9,20,0.7266666666666667,0.09752492558885198,66
2.15443,0.9,50,0.7766666666666667,0.09921917377424815,17
7.74264,0.1,5,0.6366666666666667,0.08259674462242578,122
7.74264,0.1,10,0.6366666666666666,0.17524585904126555,124
7.74264,0.1,20,0.7266666666666667,0.09752492558885198,66
7.74264,0.1,50,0.74,0.10780641085864154,48
7.74264,0.3,5,0.7233333333333334,0.09752492558885198,73
7.74264,0.3,10,0.6699999999999999,0.08393118874676114,113
7.74264,0.3,20,0.7266666666666667,0.09463379711052261,66
7.74264,0.3,50,0.7366666666666667,0.10821788720498618,58
7.74264,0.5,5,0.7233333333333334,0.09752492558885198,73
7.74264,0.5,10,0.6866666666666665,0.11661903789690599,103
7.74264,0.5,20,0.7466666666666667,0.13432961119739922,37
7.74264,0.5,50,0.7166666666666668,0.10381607668264958,83
7.74264,0.7,5,0.74,0.08730533902472531,48
7.74264,0.7,10,0.7466666666666667,0.10402991022884821,37
7.74264,0.7,20,0.69,0.12274635093014648,102
7.74264,0.7,50,0.7366666666666667,0.11125546178852425,58
7.74264,0.9,5,0.6733333333333333,0.14779866184930243,107
7.74264,0.9,10,0.7466666666666667,0.10402991022884821,37
7.74264,0.9,20,0.6733333333333333,0.18666666666666665,107
