param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
0.16681,0.5,5,0.7033333333333334,0.16512621435334449,126,0.43333333333333335,0.6333333333333333,0.9166666666666667,0.7166666666666667,0.8166666666666667,0.06334114074707031,0.0015225410461425781
0.16681,0.5,10,0.8866666666666667,0.09273618495495704,2,0.7166666666666667,0.9166666666666667,1.0,0.9,0.9,0.06338639259338379,0.0015111446380615234
0.16681,0.5,20,0.78,0.1514375558880073,64,0.6166666666666667,0.9166666666666667,1.0,0.7166666666666667,0.65,0.06331734657287598,0.0015377521514892579
0.16681,0.5,50,0.8233333333333333,0.127627931460511,15,0.6333333333333333,0.9166666666666667,1.0,0.8166666666666667,0.75,0.06332201957702636,0.001526212692260742
0.16681,0.7,5,0.7266666666666668,0.18577166390790364,113,0.43333333333333335,0.6666666666666666,1.0,0.7166666666666667,0.8166666666666667,0.06287288665771484,0.0015094757080078125
0.16681,0.7,10,0.8700000000000001,0.09626352718795768,4,0.7166666666666667,0.9166666666666667,1.0,0.8166666666666667,0.9,0.06300292015075684,0.00152587890625
0.16681,0.7,20,0.78,0.16377491328717664,64,0.5333333333333333,0.9166666666666667,1.0,0.7166666666666667,0.7333333333333334,0.06349906921386719,0.001647615432739258
0.16681,0.7,50,0.7833333333333333,0.14794894014114768,60,0.6333333333333333,0.9166666666666667,1.0,0.7166666666666667,0.65,0.06278586387634277,0.0015378952026367187
0.16681,0.9,5,0.76,0.18696404883173542,86,0.43333333333333335,0.8333333333333333,1.0,0.7166666666666667,0.8166666666666667,0.06371798515319824,0.001531219482421875
0.16681,0.9,10,0.8166666666666667,0.1534781924429512,28,0.6333333333333333,0.9166666666666667,1.0,0.9,0.6333333333333333,0.06365909576416015,0.001488637924194336
0.16681,0.9,20,0.76,0.1740370330960882,86,0.5333333333333333,0.9166666666666667,1.0,0.7166666666666667,0.6333333333333333,0.06364364624023437,0.0014957904815673829
0.16681,0.9,50,0.7433333333333334,0.18873850222522753,99,0.5333333333333333,0.9166666666666667,1.0,0.7166666666666667,0.55,0.06340065002441406,0.0014883995056152344
0.599484,0.1,5,0.8,0.15705625319186328,40,0.55,0.8166666666666667,1.0,0.9166666666666667,0.7166666666666667,0.12378516197204589,0.0015473365783691406
0.599484,0.1,10,0.8,0.10593499054713805,40,0.6333333333333333,0.9166666666666667,0.9,0.7333333333333334,0.8166666666666667,0.1237870216369629,0.001564788818359375
0.599484,0.1,20,0.7866666666666665,0.17429221949868495,51,0.4666666666666667,0.8333333333333333,1.0,0.8166666666666667,0.8166666666666667,0.12379531860351563,0.0015256881713867187
0.599484,0.1,50,0.7633333333333333,0.16172679294277606,82,0.6333333333333333,0.9166666666666667,1.0,0.6166666666666667,0.65,0.12384414672851562,0.0015356063842773438
0.599484,0.3,5,0.7266666666666666,0.07195677714974304,120,0.6333333333333333,0.6666666666666666,0.8,0.7166666666666667,0.8166666666666667,0.14479494094848633,0.0016451358795166015
0.599484,0.3,10,0.82,0.15143755588800728,17,0.55,0.8166666666666667,1.0,0.9166666666666667,0.8166666666666667,0.14421067237854004,0.0015486717224121095
0.599484,0.3,20,0.82,0.1297005097222915,17,0.6333333333333333,0.9166666666666667,1.0,0.8166666666666667,0.7333333333333334,0.1444582462310791,0.0015358924865722656
0.599484,0.3,50,0.7633333333333333,0.16172679294277606,82,0.6333333333333333,0.9166666666666667,1.0,0.6166666666666667,0.65,0.14437670707702638,0.0015567779541015626
0.599484,0.5,5,0.7333333333333334,0.1256096245427785,106,0.55,0.6666666666666666,0.9166666666666667,0.7166666666666667,0.8166666666666667,0.16788973808288574,0.0016131877899169921
0.599484,0.5,10,0.7266666666666668,0.18030837781731363,113,0.4666666666666667,0.7333333333333334,1.0,0.6166666666666667,0.8166666666666667,0.16784958839416503,0.0015442371368408203
