param_clf__shrink_threshold,param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
,0.16681,0.1,5,0.7366666666666667,0.006666666666666643,59,0.7333333333333334,0.7333333333333334,0.75,0.7333333333333334,0.7333333333333334,0.040980958938598634,0.0011786937713623047
,0.16681,0.1,10,0.7366666666666666,0.05312459150169741,62,0.75,0.7333333333333334,0.7333333333333334,0.8166666666666667,0.65,0.04130301475524902,0.001184988021850586
,0.16681,0.1,20,0.7466666666666667,0.10077477638553983,33,0.9,0.8166666666666667,0.7333333333333334,0.65,0.6333333333333333,0.04106893539428711,0.0011869907379150391
,0.16681,0.1,50,0.7,0.08881941729649487,195,0.8,0.8166666666666667,0.6166666666666667,0.6333333333333333,0.6333333333333333,0.041328048706054686,0.0011919021606445312
,0.16681,0.3,5,0.7133333333333333,0.09510228411791403,142,0.7333333333333334,0.8166666666666667,0.75,0.5333333333333333,0.7333333333333334,0.04367284774780274,0.0011988639831542968
,0.16681,0.3,10,0.6399999999999999,0.13727506854649332,457,0.75,0.8166666666666667,0.55,0.43333333333333335,0.65,0.04350581169128418,0.0011742591857910156
,0.16681,0.3,20,0.7300000000000001,0.09510228411791402,71,0.8,0.8166666666666667,0.7333333333333334,0.75,0.55,0.043704652786254884,0.0011875152587890625
,0.16681,0.3,50,0.69,0.12319812408384222,245,0.7166666666666667,0.9166666666666667,0.6166666666666667,0.5666666666666667,0.6333333333333333,0.044305419921875,0.0011907100677490234
,0.16681,0.5,5,0.6666666666666667,0.13291601358251257,329,0.7333333333333334,0.8166666666666667,0.6166666666666667,0.43333333333333335,0.7333333333333334,0.04715566635131836,0.0011942386627197266
,0.16681,0.5,10,0.75,0.10593499054713798,28,0.8333333333333333,0.8166666666666667,0.7333333333333334,0.8166666666666667,0.55,0.04818196296691894,0.0011884212493896485
,0.16681,0.5,20,0.6666666666666667,0.13824294235551812,329,0.7166666666666667,0.8166666666666667,0.4166666666666667,0.75,0.6333333333333333,0.04742298126220703,0.0011870384216308594
,0.16681,0.5,50,0.7233333333333334,0.10677078252031313,100,0.7166666666666667,0.9166666666666667,0.6166666666666667,0.7333333333333334,0.6333333333333333,0.0473696231842041,0.0012038707733154296
,0.16681,0.7,5,0.6900000000000001,0.07999999999999999,236,0.8166666666666667,0.65,0.6166666666666667,0.6166666666666667,0.75,0.05550017356872559,0.0012197017669677735
,0.16681,0.7,10,0.6933333333333334,0.120922380981447,218,0.8166666666666667,0.7333333333333334,0.8166666666666667,0.55,0.55,0.055516624450683595,0.001207113265991211
,0.16681,0.7,20,0.7066666666666667,0.11135528725660042,159,0.8,0.8166666666666667,0.5166666666666667,0.75,0.65,0.05479722023010254,0.001181793212890625
,0.16681,0.7,50,0.6833333333333333,0.13038404810405302,279,0.7166666666666667,0.9166666666666667,0.6166666666666667,0.5333333333333333,0.6333333333333333,0.0545295238494873,0.0011860847473144532
,0.16681,0.9,5,0.6533333333333333,0.04876246279442598,403,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6166666666666667,0.75,0.04925503730773926,0.0011725425720214844
,0.16681,0.9,10,0.7899999999999999,0.08472176684759222,6,0.9,0.75,0.8166666666666667,0.8333333333333333,0.65,0.04875106811523437,0.0011728763580322265
,0.16681,0.9,20,0.71,0.1078064108586415,156,0.8166666666666667,0.8333333333333333,0.7166666666666667,0.6333333333333333,0.55,0.048770999908447264,0.0011777877807617188
,0.16681,0.9,50,0.7033333333333334,0.10974718422102885,170,0.8,0.8333333333333333,0.7166666666666667,0.5333333333333333,0.6333333333333333,0.04882364273071289,0.00117950439453125
,0.599484,0.1,5,0.6633333333333333,0.08589399151150086,352,0.7333333333333334,0.55,0.7333333333333334,0.7333333333333334,0.5666666666666667,0.09564480781555176,0.0012029647827148438
,0.599484,0.1,10,0.7933333333333333,0.042946995755750374,2,0.8333333333333333,0.8166666666666667,0.75,0.7333333333333334,0.8333333333333333,0.09476852416992188,0.001177835464477539
,0.599484,0.1,20,0.6866666666666668,0.1465908895153068,255,0.9,0.8166666666666667,0.5333333333333333,0.6333333333333333,0.55,0.09482736587524414,0.001193857192993164
,0.599484,0.1,50,0.6833333333333333,0.10593499054713802,279,0.8,0.8166666666666667,0.6166666666666667,0.55,0.6333333333333333,0.09506263732910156,0.0011963367462158204
